,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,brand,model
1,Pune,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,Hyundai,Creta
2,Chennai,2011,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,Honda,Jazz
3,Chennai,2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,Maruti,Ertiga
4,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,Audi,A4
6,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,Nissan,Micra
7,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,Toyota,Innova
8,Pune,2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,Volkswagen,Vento
9,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,Tata,Indica
10,Kochi,2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,Maruti,Ciaz
11,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,Honda,City
12,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,Maruti,Swift
13,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,Land,Rover
14,Pune,2012,85000,Diesel,Automatic,Second,0.0,2179.0,115.0,5.0,Land,Rover
15,Delhi,2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,Mitsubishi,Pajero
16,Kochi,2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,Honda,Amaze
17,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,Maruti,Swift
18,Kochi,2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,Renault,Duster
19,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,Mercedes-Benz,New
20,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,BMW,3
21,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,Maruti,S
22,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,Audi,A6
23,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,Hyundai,i20
24,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,Volkswagen,Vento
25,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,Honda,City
26,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,Nissan,Micra
27,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,Maruti,Alto
28,Kochi,2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,Honda,WRV
29,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,Toyota,Innova
30,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,Renault,Duster
31,Delhi,2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,Toyota,Corolla
32,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,Mahindra,Ssangyong
33,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,Audi,A6
34,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,Volkswagen,Vento
35,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,Maruti,Wagon
36,Kochi,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,Maruti,Vitara
37,Delhi,2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,Mahindra,KUV
38,Pune,2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,Mercedes-Benz,M-Class
39,Chennai,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,Volkswagen,Polo
40,Delhi,2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,Maruti,Alto
41,Kochi,2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,Tata,Nano
42,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,Mahindra,KUV
43,Kochi,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,Hyundai,i20
44,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,Hyundai,Elantra
45,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,Toyota,Corolla
46,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,Hyundai,Elantra
47,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,Toyota,Innova
48,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,Hyundai,Xcent
49,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,Mahindra,Thar
50,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,Audi,A4
51,Delhi,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,Maruti,Swift
